,6-idle-img3-cnn6-0999-data_set_uncertain_time1-,converged_iterations,total_time,min
la16_100_25,1033.0,30.0,2.057645559310913,0.0
la16_100_50,1136.0,30.0,2.1870195865631104,0.0
la16_100_75,1073.0,30.0,2.108882188796997,0.0
la16_25_25,1046.0,30.0,2.2650556564331055,0.0
la16_25_50,1072.0,30.0,2.1244986057281494,0.0
la16_25_75,1087.0,30.0,2.187016487121582,0.0
la16_50_25,1039.0,30.0,2.1713616847991943,0.0
la16_50_50,1088.0,30.0,2.1401526927948,0.0
la16_50_75,1111.0,30.0,2.0718493461608887,0.0
la16_75_25,1057.0,30.0,1.9370732307434082,0.0
la16_75_50,1083.0,30.0,1.890146017074585,0.0
la16_75_75,1115.0,30.0,2.218226671218872,0.0
la26_100_25,1310.0,30.0,4.873851776123047,0.0
la26_100_50,1395.0,30.0,5.123791933059692,0.0
la26_100_75,1371.0,30.0,4.85818338394165,0.0
la26_25_25,1344.0,30.0,5.233139753341675,0.0
la26_25_50,1337.0,30.0,5.936097145080566,0.0
la26_25_75,1348.0,30.0,5.076958179473877,0.0
la26_50_25,1342.0,30.0,4.670774221420288,0.0
la26_50_50,1333.0,30.0,4.514558553695679,0.0
la26_50_75,1393.0,30.0,4.37398362159729,0.0
la26_75_25,1321.0,30.0,4.623898029327393,0.0
la26_75_50,1415.0,30.0,4.452037572860718,0.0
la26_75_75,1418.0,30.0,4.467696666717529,0.0
la31_100_25,1823.0,30.0,7.701349496841431,0.0
la31_100_50,1880.0,30.0,7.560670614242554,0.0
la31_100_75,1989.0,30.0,7.610425233840942,0.0
la31_25_25,1767.0,30.0,7.654409170150757,0.0
la31_25_50,1932.0,30.0,7.529504299163818,0.0
la31_25_75,1846.0,30.0,7.654399871826172,0.0
la31_50_25,1746.0,30.0,7.638817071914673,0.0
la31_50_50,1860.0,30.0,7.748168230056763,0.0
la31_50_75,1772.0,30.0,7.591958045959473,0.0
la31_75_25,1813.0,30.0,7.623197555541992,0.0
la31_75_50,1800.0,30.0,7.826308727264404,0.0
la31_75_75,1905.0,30.0,7.591957092285156,0.0
ta41_100_25,2513.0,30.0,19.370426177978516,0.0
ta41_100_50,2508.0,30.0,19.370460271835327,0.0
ta41_100_75,2618.0,30.0,19.20171546936035,0.0
ta41_25_25,2452.0,30.0,19.30794048309326,0.0
ta41_25_50,2551.0,30.0,19.401633739471436,0.0
ta41_25_75,2493.0,30.0,19.37038516998291,0.0
ta41_50_25,2495.0,30.0,19.16737675666809,0.0
ta41_50_50,2467.0,30.0,19.3547785282135,0.0
ta41_50_75,2591.0,30.0,19.279977560043335,0.0
ta41_75_25,2446.0,30.0,19.261075496673584,0.0
ta41_75_50,2472.0,30.0,19.229800701141357,0.0
ta41_75_75,2593.0,30.0,19.245417833328247,0.0
