,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
la01,751,735,773,763,671,772,822,933,941,941,933,796
la06,1200,926,926,926,926,926,1125,1067,1105,1095,1246,1060
la11,1473,1268,1238,1222,1222,1272,1467,1525,1530,1586,1446,1502
la16,1156,1054,1060,1108,1081,1180,1229,1347,1221,1119,1158,1113
la21,1324,1264,1234,1251,1230,1265,1451,1518,1527,1547,1651,1334
la22,1180,1079,1187,1198,1060,1312,1315,1589,1292,1359,1479,1260
la23,1162,1185,1152,1268,1155,1354,1302,1374,1268,1493,1577,1328
la24,1203,1101,1106,1149,1085,1141,1245,1214,1505,1508,1231,1422
la25,1449,1166,1203,1209,1112,1283,1374,1487,1558,1371,1335,1359
la26,1498,1435,1453,1411,1386,1372,1643,1606,1880,1687,1826,1550
la27,1784,1442,1473,1566,1413,1644,1644,1728,1835,1687,1933,1564
la28,1610,1487,1534,1477,1468,1474,1844,1750,1664,1743,1822,1644
la29,1556,1337,1458,1437,1352,1540,1720,1665,1683,1858,1826,1627
la30,1792,1534,1533,1565,1577,1648,1953,2067,1948,1847,2014,1737
la31,1951,1931,1832,1836,1903,1918,2245,2322,2262,2129,2462,2064
la32,2165,1875,1995,1984,1850,2110,2470,2341,2713,2374,2383,2543
la33,1901,1875,1876,1811,1766,1873,2297,2125,2500,2411,2474,2323
la34,2070,1935,1885,1853,1825,1925,2330,2223,2333,2545,2177,2145
la35,2118,2118,2073,2064,2009,2142,2349,2316,2407,2350,2370,2469
la36,1799,1510,1508,1492,1396,1516,1737,1899,1853,1932,1879,1869
la37,1655,1588,1594,1606,1584,1873,1944,1996,2016,1943,2058,1805
la38,1404,1421,1358,1455,1387,1475,1732,1820,1795,1741,1752,1600
la39,1534,1500,1405,1540,1495,1532,1625,1586,1780,1641,1848,1641
la40,1476,1440,1450,1358,1400,1531,1822,1570,1692,1631,1557,1481
ta21,2175,2044,1990,1964,2005,2089,2266,2477,2360,2324,2391,2275
ta22,1965,1914,2020,1905,1868,2146,2324,2153,2446,2067,2377,2358
ta31,2335,2134,2275,2143,2146,2277,2417,2667,2772,2962,2805,2434
ta32,2432,2223,2244,2188,2163,2279,2501,2860,2726,2923,2792,2411
ta41,2499,2620,2632,2538,2583,2543,2925,3118,3260,2976,3033,2825
ta42,2710,2416,2401,2440,2494,2669,3140,3068,3109,3445,3121,2885
ta51,3856,3435,3585,3567,3427,3590,3880,3764,3752,3596,3947,3655
ta52,3266,3394,3451,3303,3315,3365,4028,3907,4087,3802,3882,3596
