,episode,make_span,reward,min_make_span
0,0.0,1395.0,-62.3939393939394,1395.0
1,0.0,1435.0,-66.43434343434343,1395.0
2,0.0,1336.0,-56.43434343434344,1336.0
3,0.0,1334.0,-56.23232323232323,1334.0
4,0.0,1425.0,-65.42424242424244,1334.0
5,0.0,1354.0,-58.25252525252527,1334.0
6,0.0,1405.0,-63.40404040404041,1334.0
7,0.0,1426.0,-65.52525252525254,1334.0
8,0.0,1369.0,-59.76767676767678,1334.0
9,1.0,1334.0,-56.23232323232323,1334.0
10,1.0,1369.0,-59.76767676767677,1334.0
11,1.0,1351.0,-57.94949494949495,1334.0
12,1.0,1371.0,-59.96969696969697,1334.0
13,1.0,1392.0,-62.0909090909091,1334.0
14,1.0,1334.0,-56.23232323232323,1334.0
15,1.0,1351.0,-57.94949494949494,1334.0
16,1.0,1405.0,-63.404040404040416,1334.0
17,1.0,1367.0,-59.56565656565656,1334.0
18,2.0,1419.0,-64.81818181818181,1334.0
19,2.0,1336.0,-56.43434343434344,1334.0
20,2.0,1405.0,-63.4040404040404,1334.0
21,2.0,1405.0,-63.4040404040404,1334.0
22,2.0,1384.0,-61.28282828282826,1334.0
23,2.0,1366.0,-59.46464646464646,1334.0
24,2.0,1417.0,-64.61616161616162,1334.0
25,2.0,1326.0,-55.42424242424242,1326.0
26,2.0,1445.0,-67.44444444444443,1326.0
27,3.0,1428.0,-65.72727272727273,1326.0
28,3.0,1391.0,-61.98989898989899,1326.0
29,3.0,1411.0,-64.010101010101,1326.0
30,3.0,1370.0,-59.868686868686865,1326.0
31,3.0,1395.0,-62.393939393939405,1326.0
32,3.0,1334.0,-56.232323232323225,1326.0
33,3.0,1415.0,-64.41414141414143,1326.0
34,3.0,1367.0,-59.56565656565656,1326.0
35,3.0,1448.0,-67.74747474747474,1326.0
36,4.0,1343.0,-57.14141414141415,1326.0
37,4.0,1334.0,-56.23232323232324,1326.0
38,4.0,1336.0,-56.43434343434344,1326.0
39,4.0,1334.0,-56.232323232323246,1326.0
40,4.0,1430.0,-65.92929292929293,1326.0
41,4.0,1412.0,-64.1111111111111,1326.0
42,4.0,1329.0,-55.72727272727275,1326.0
43,4.0,1334.0,-56.23232323232322,1326.0
44,4.0,1334.0,-56.23232323232324,1326.0
45,5.0,1383.0,-61.18181818181819,1326.0
46,5.0,1343.0,-57.14141414141415,1326.0
47,5.0,1334.0,-56.232323232323246,1326.0
48,5.0,1383.0,-61.18181818181819,1326.0
49,5.0,1336.0,-56.434343434343425,1326.0
50,5.0,1336.0,-56.43434343434343,1326.0
51,5.0,1334.0,-56.23232323232323,1326.0
52,5.0,1367.0,-59.56565656565659,1326.0
53,5.0,1435.0,-66.43434343434342,1326.0
54,6.0,1334.0,-56.23232323232324,1326.0
55,6.0,1334.0,-56.23232323232324,1326.0
56,6.0,1336.0,-56.43434343434344,1326.0
57,6.0,1398.0,-62.696969696969695,1326.0
58,6.0,1391.0,-61.989898989899,1326.0
59,6.0,1383.0,-61.18181818181819,1326.0
60,6.0,1334.0,-56.23232323232323,1326.0
61,6.0,1343.0,-57.141414141414145,1326.0
62,6.0,1336.0,-56.43434343434345,1326.0
63,7.0,1336.0,-56.43434343434345,1326.0
64,7.0,1343.0,-57.141414141414145,1326.0
65,7.0,1343.0,-57.14141414141415,1326.0
66,7.0,1351.0,-57.949494949494934,1326.0
67,7.0,1416.0,-64.51515151515152,1326.0
68,7.0,1343.0,-57.14141414141415,1326.0
69,7.0,1403.0,-63.2020202020202,1326.0
70,7.0,1388.0,-61.6868686868687,1326.0
71,7.0,1334.0,-56.23232323232324,1326.0
72,8.0,1334.0,-56.23232323232323,1326.0
73,8.0,1334.0,-56.23232323232324,1326.0
74,8.0,1334.0,-56.232323232323246,1326.0
75,8.0,1334.0,-56.23232323232323,1326.0
76,8.0,1351.0,-57.94949494949496,1326.0
77,8.0,1343.0,-57.14141414141415,1326.0
78,8.0,1343.0,-57.14141414141413,1326.0
79,8.0,1334.0,-56.23232323232324,1326.0
80,8.0,1334.0,-56.23232323232322,1326.0
81,9.0,1343.0,-57.141414141414145,1326.0
82,9.0,1334.0,-56.23232323232324,1326.0
83,9.0,1336.0,-56.43434343434344,1326.0
84,9.0,1343.0,-57.14141414141414,1326.0
85,9.0,1336.0,-56.43434343434343,1326.0
86,9.0,1334.0,-56.232323232323225,1326.0
87,9.0,1334.0,-56.232323232323246,1326.0
88,9.0,1336.0,-56.43434343434345,1326.0
89,9.0,1334.0,-56.232323232323246,1326.0
90,10.0,1445.0,-67.44444444444441,1326.0
91,10.0,1334.0,-56.23232323232324,1326.0
92,10.0,1334.0,-56.23232323232324,1326.0
93,10.0,1351.0,-57.94949494949495,1326.0
94,10.0,1336.0,-56.43434343434344,1326.0
95,10.0,1444.0,-67.34343434343435,1326.0
96,10.0,1334.0,-56.23232323232324,1326.0
97,10.0,1336.0,-56.43434343434344,1326.0
98,10.0,1334.0,-56.232323232323246,1326.0
99,11.0,1336.0,-56.434343434343454,1326.0
100,11.0,1407.0,-63.60606060606062,1326.0
101,11.0,1334.0,-56.23232323232324,1326.0
102,11.0,1334.0,-56.232323232323246,1326.0
103,11.0,1351.0,-57.94949494949495,1326.0
104,11.0,1334.0,-56.23232323232324,1326.0
105,11.0,1334.0,-56.232323232323246,1326.0
106,11.0,1405.0,-63.40404040404041,1326.0
107,11.0,1334.0,-56.23232323232324,1326.0
108,12.0,1351.0,-57.94949494949495,1326.0
109,12.0,1334.0,-56.232323232323246,1326.0
110,12.0,1336.0,-56.43434343434344,1326.0
111,12.0,1336.0,-56.43434343434344,1326.0
112,12.0,1391.0,-61.989898989899,1326.0
113,12.0,1334.0,-56.23232323232324,1326.0
114,12.0,1334.0,-56.23232323232323,1326.0
115,12.0,1336.0,-56.43434343434343,1326.0
116,12.0,1391.0,-61.98989898989899,1326.0
117,13.0,1336.0,-56.43434343434344,1326.0
118,13.0,1336.0,-56.43434343434344,1326.0
119,13.0,1334.0,-56.23232323232324,1326.0
120,13.0,1334.0,-56.23232323232324,1326.0
121,13.0,1334.0,-56.23232323232324,1326.0
122,13.0,1392.0,-62.090909090909086,1326.0
123,13.0,1334.0,-56.23232323232324,1326.0
124,13.0,1334.0,-56.23232323232324,1326.0
125,13.0,1529.0,-75.92929292929293,1326.0
126,14.0,1334.0,-56.23232323232324,1326.0
127,14.0,1334.0,-56.23232323232324,1326.0
128,14.0,1334.0,-56.23232323232323,1326.0
129,14.0,1334.0,-56.232323232323246,1326.0
130,14.0,1334.0,-56.23232323232323,1326.0
131,14.0,1334.0,-56.23232323232324,1326.0
132,14.0,1336.0,-56.43434343434343,1326.0
133,14.0,1336.0,-56.43434343434344,1326.0
134,14.0,1334.0,-56.23232323232324,1326.0
135,15.0,1334.0,-56.232323232323246,1326.0
136,15.0,1336.0,-56.434343434343454,1326.0
137,15.0,1336.0,-56.434343434343425,1326.0
138,15.0,1334.0,-56.23232323232324,1326.0
139,15.0,1334.0,-56.23232323232324,1326.0
140,15.0,1334.0,-56.23232323232324,1326.0
141,15.0,1336.0,-56.43434343434344,1326.0
142,15.0,1334.0,-56.232323232323246,1326.0
143,15.0,1336.0,-56.43434343434344,1326.0
144,16.0,1334.0,-56.23232323232323,1326.0
145,16.0,1334.0,-56.232323232323246,1326.0
146,16.0,1334.0,-56.23232323232324,1326.0
147,16.0,1334.0,-56.23232323232323,1326.0
148,16.0,1334.0,-56.23232323232324,1326.0
149,16.0,1383.0,-61.18181818181817,1326.0
150,16.0,1334.0,-56.232323232323246,1326.0
151,16.0,1334.0,-56.232323232323246,1326.0
