,episode,make_span,reward,min_make_span
0,0.0,1128.0,-62.33333333333336,1128.0
1,0.0,1223.0,-71.92929292929294,1128.0
2,0.0,1160.0,-65.56565656565655,1128.0
3,0.0,1162.0,-65.76767676767679,1128.0
4,0.0,1174.0,-66.97979797979798,1128.0
5,0.0,1181.0,-67.68686868686868,1128.0
6,0.0,1188.0,-68.39393939393938,1128.0
7,0.0,1107.0,-60.21212121212122,1107.0
8,0.0,1148.0,-64.35353535353538,1107.0
9,1.0,1247.0,-74.35353535353538,1107.0
10,1.0,1147.0,-64.25252525252525,1107.0
11,1.0,1191.0,-68.6969696969697,1107.0
12,1.0,1203.0,-69.90909090909092,1107.0
13,1.0,1118.0,-61.32323232323234,1107.0
14,1.0,1160.0,-65.56565656565657,1107.0
15,1.0,1168.0,-66.37373737373737,1107.0
16,1.0,1132.0,-62.737373737373744,1107.0
17,1.0,1116.0,-61.12121212121212,1107.0
18,2.0,1139.0,-63.44444444444447,1107.0
19,2.0,1171.0,-66.67676767676768,1107.0
20,2.0,1120.0,-61.52525252525254,1107.0
21,2.0,1189.0,-68.4949494949495,1107.0
22,2.0,1140.0,-63.54545454545454,1107.0
23,2.0,1269.0,-76.57575757575756,1107.0
24,2.0,1147.0,-64.25252525252525,1107.0
25,2.0,1235.0,-73.14141414141415,1107.0
26,2.0,1274.0,-77.08080808080807,1107.0
27,3.0,1125.0,-62.030303030303045,1107.0
28,3.0,1156.0,-65.16161616161615,1107.0
29,3.0,1114.0,-60.91919191919193,1107.0
30,3.0,1114.0,-60.91919191919194,1107.0
31,3.0,1108.0,-60.31313131313134,1107.0
32,3.0,1177.0,-67.28282828282829,1107.0
33,3.0,1214.0,-71.02020202020206,1107.0
34,3.0,1142.0,-63.74747474747476,1107.0
35,3.0,1150.0,-64.55555555555557,1107.0
36,4.0,1124.0,-61.92929292929291,1107.0
37,4.0,1143.0,-63.84848484848487,1107.0
38,4.0,1198.0,-69.40404040404043,1107.0
39,4.0,1137.0,-63.24242424242424,1107.0
40,4.0,1138.0,-63.34343434343436,1107.0
41,4.0,1128.0,-62.33333333333335,1107.0
42,4.0,1154.0,-64.95959595959596,1107.0
43,4.0,1117.0,-61.22222222222224,1107.0
44,4.0,1170.0,-66.57575757575759,1107.0
45,5.0,1121.0,-61.62626262626262,1107.0
46,5.0,1204.0,-70.01010101010102,1107.0
47,5.0,1130.0,-62.53535353535355,1107.0
48,5.0,1190.0,-68.59595959595961,1107.0
49,5.0,1159.0,-65.46464646464648,1107.0
50,5.0,1164.0,-65.96969696969698,1107.0
51,5.0,1152.0,-64.75757575757576,1107.0
52,5.0,1132.0,-62.737373737373744,1107.0
53,5.0,1168.0,-66.37373737373738,1107.0
54,6.0,1160.0,-65.56565656565658,1107.0
55,6.0,1172.0,-66.77777777777779,1107.0
56,6.0,1134.0,-62.93939393939395,1107.0
57,6.0,1166.0,-66.17171717171718,1107.0
58,6.0,1183.0,-67.8888888888889,1107.0
59,6.0,1126.0,-62.13131313131315,1107.0
60,6.0,1114.0,-60.91919191919194,1107.0
61,6.0,1248.0,-74.45454545454547,1107.0
62,6.0,1142.0,-63.74747474747474,1107.0
63,7.0,1122.0,-61.727272727272734,1107.0
64,7.0,1135.0,-63.040404040404056,1107.0
65,7.0,1145.0,-64.05050505050505,1107.0
66,7.0,1143.0,-63.84848484848485,1107.0
67,7.0,1132.0,-62.737373737373765,1107.0
68,7.0,1210.0,-70.61616161616165,1107.0
69,7.0,1197.0,-69.30303030303031,1107.0
70,7.0,1112.0,-60.717171717171716,1107.0
71,7.0,1131.0,-62.63636363636366,1107.0
72,8.0,1151.0,-64.65656565656569,1107.0
73,8.0,1194.0,-69.0,1107.0
74,8.0,1206.0,-70.21212121212122,1107.0
75,8.0,1106.0,-60.11111111111113,1106.0
76,8.0,1179.0,-67.4848484848485,1106.0
77,8.0,1108.0,-60.31313131313132,1106.0
78,8.0,1123.0,-61.82828282828284,1106.0
79,8.0,1122.0,-61.72727272727274,1106.0
80,8.0,1122.0,-61.727272727272755,1106.0
81,9.0,1133.0,-62.83838383838386,1106.0
82,9.0,1126.0,-62.131313131313135,1106.0
83,9.0,1204.0,-70.01010101010101,1106.0
84,9.0,1114.0,-60.919191919191945,1106.0
85,9.0,1122.0,-61.727272727272734,1106.0
86,9.0,1131.0,-62.63636363636365,1106.0
87,9.0,1207.0,-70.31313131313135,1106.0
88,9.0,1222.0,-71.82828282828285,1106.0
89,9.0,1140.0,-63.54545454545454,1106.0
90,10.0,1145.0,-64.05050505050507,1106.0
91,10.0,1181.0,-67.68686868686872,1106.0
92,10.0,1222.0,-71.82828282828285,1106.0
93,10.0,1150.0,-64.55555555555557,1106.0
94,10.0,1194.0,-69.00000000000003,1106.0
95,10.0,1113.0,-60.818181818181806,1106.0
96,10.0,1215.0,-71.12121212121212,1106.0
97,10.0,1199.0,-69.50505050505052,1106.0
98,10.0,1129.0,-62.43434343434346,1106.0
99,11.0,1183.0,-67.88888888888889,1106.0
100,11.0,1161.0,-65.66666666666669,1106.0
101,11.0,1113.0,-60.81818181818184,1106.0
102,11.0,1122.0,-61.72727272727272,1106.0
103,11.0,1178.0,-67.38383838383837,1106.0
104,11.0,1164.0,-65.969696969697,1106.0
105,11.0,1187.0,-68.29292929292932,1106.0
106,11.0,1114.0,-60.91919191919194,1106.0
107,11.0,1194.0,-68.99999999999999,1106.0
108,12.0,1114.0,-60.91919191919194,1106.0
109,12.0,1158.0,-65.36363636363636,1106.0
110,12.0,1146.0,-64.15151515151517,1106.0
111,12.0,1165.0,-66.0707070707071,1106.0
112,12.0,1177.0,-67.28282828282829,1106.0
113,12.0,1136.0,-63.14141414141416,1106.0
114,12.0,1166.0,-66.17171717171716,1106.0
115,12.0,1159.0,-65.46464646464648,1106.0
116,12.0,1201.0,-69.70707070707071,1106.0
117,13.0,1159.0,-65.46464646464648,1106.0
118,13.0,1177.0,-67.28282828282829,1106.0
119,13.0,1150.0,-64.55555555555559,1106.0
120,13.0,1255.0,-75.16161616161618,1106.0
121,13.0,1114.0,-60.919191919191924,1106.0
122,13.0,1209.0,-70.5151515151515,1106.0
123,13.0,1114.0,-60.919191919191945,1106.0
124,13.0,1143.0,-63.848484848484865,1106.0
125,13.0,1168.0,-66.3737373737374,1106.0
126,14.0,1103.0,-59.80808080808083,1103.0
127,14.0,1151.0,-64.65656565656566,1103.0
128,14.0,1137.0,-63.242424242424256,1103.0
129,14.0,1084.0,-57.88888888888892,1084.0
130,14.0,1097.0,-59.20202020202022,1084.0
131,14.0,1148.0,-64.35353535353538,1084.0
132,14.0,1179.0,-67.48484848484848,1084.0
133,14.0,1144.0,-63.94949494949497,1084.0
134,14.0,1158.0,-65.36363636363639,1084.0
135,15.0,1128.0,-62.33333333333337,1084.0
136,15.0,1150.0,-64.55555555555557,1084.0
137,15.0,1147.0,-64.25252525252527,1084.0
138,15.0,1213.0,-70.91919191919192,1084.0
139,15.0,1150.0,-64.55555555555557,1084.0
140,15.0,1128.0,-62.33333333333334,1084.0
141,15.0,1114.0,-60.91919191919193,1084.0
142,15.0,1183.0,-67.88888888888889,1084.0
143,15.0,1157.0,-65.26262626262627,1084.0
144,16.0,1268.0,-76.47474747474746,1084.0
145,16.0,1184.0,-67.98989898989902,1084.0
146,16.0,1141.0,-63.64646464646467,1084.0
147,16.0,1135.0,-63.040404040404056,1084.0
148,16.0,1084.0,-57.88888888888892,1084.0
149,16.0,1154.0,-64.95959595959599,1084.0
150,16.0,1093.0,-58.79797979797979,1084.0
151,16.0,1098.0,-59.30303030303031,1084.0
152,16.0,1109.0,-60.41414141414145,1084.0
153,17.0,1129.0,-62.43434343434345,1084.0
154,17.0,1100.0,-59.50505050505053,1084.0
155,17.0,1150.0,-64.55555555555557,1084.0
156,17.0,1150.0,-64.55555555555556,1084.0
157,17.0,1154.0,-64.959595959596,1084.0
158,17.0,1102.0,-59.70707070707069,1084.0
159,17.0,1102.0,-59.70707070707072,1084.0
160,17.0,1093.0,-58.79797979797983,1084.0
161,17.0,1116.0,-61.12121212121212,1084.0
162,18.0,1114.0,-60.919191919191924,1084.0
163,18.0,1122.0,-61.727272727272734,1084.0
164,18.0,1217.0,-71.32323232323235,1084.0
165,18.0,1124.0,-61.92929292929296,1084.0
166,18.0,1174.0,-66.97979797979802,1084.0
167,18.0,1127.0,-62.23232323232327,1084.0
168,18.0,1152.0,-64.75757575757578,1084.0
169,18.0,1153.0,-64.8585858585859,1084.0
170,18.0,1169.0,-66.47474747474749,1084.0
171,19.0,1125.0,-62.030303030303045,1084.0
172,19.0,1175.0,-67.0808080808081,1084.0
173,19.0,1202.0,-69.80808080808085,1084.0
174,19.0,1103.0,-59.80808080808084,1084.0
175,19.0,1128.0,-62.33333333333334,1084.0
176,19.0,1154.0,-64.95959595959599,1084.0
177,19.0,1089.0,-58.393939393939405,1084.0
