,episode,make_span,reward,min_make_span
0,0.0,729.0,-8.122448979591837,729.0
1,0.0,710.0,-7.153061224489796,710.0
2,0.0,706.0,-6.948979591836736,706.0
3,0.0,745.0,-8.938775510204081,706.0
4,0.0,748.0,-9.091836734693878,706.0
5,0.0,779.0,-10.673469387755103,706.0
6,0.0,718.0,-7.561224489795918,706.0
7,0.0,726.0,-7.969387755102042,706.0
8,0.0,751.0,-9.244897959183675,706.0
9,1.0,788.0,-11.13265306122449,706.0
10,1.0,704.0,-6.846938775510203,704.0
11,1.0,715.0,-7.408163265306122,704.0
12,1.0,777.0,-10.571428571428571,704.0
13,1.0,754.0,-9.397959183673468,704.0
14,1.0,751.0,-9.244897959183673,704.0
15,1.0,740.0,-8.683673469387756,704.0
16,1.0,754.0,-9.39795918367347,704.0
17,1.0,776.0,-10.520408163265305,704.0
18,2.0,712.0,-7.255102040816325,704.0
19,2.0,736.0,-8.479591836734695,704.0
20,2.0,751.0,-9.244897959183673,704.0
21,2.0,740.0,-8.683673469387756,704.0
22,2.0,700.0,-6.642857142857143,700.0
23,2.0,777.0,-10.571428571428571,700.0
24,2.0,671.0,-5.163265306122449,671.0
25,2.0,762.0,-9.806122448979592,671.0
26,2.0,702.0,-6.744897959183672,671.0
27,3.0,757.0,-9.551020408163264,671.0
28,3.0,718.0,-7.561224489795917,671.0
29,3.0,758.0,-9.60204081632653,671.0
30,3.0,740.0,-8.683673469387754,671.0
31,3.0,751.0,-9.244897959183675,671.0
32,3.0,751.0,-9.244897959183673,671.0
33,3.0,710.0,-7.153061224489795,671.0
34,3.0,666.0,-4.908163265306122,666.0
35,3.0,711.0,-7.20408163265306,666.0
36,4.0,751.0,-9.244897959183675,666.0
37,4.0,740.0,-8.683673469387756,666.0
38,4.0,711.0,-7.20408163265306,666.0
39,4.0,740.0,-8.683673469387754,666.0
40,4.0,740.0,-8.683673469387756,666.0
41,4.0,731.0,-8.224489795918366,666.0
42,4.0,700.0,-6.642857142857143,666.0
43,4.0,773.0,-10.367346938775512,666.0
44,4.0,754.0,-9.39795918367347,666.0
45,5.0,751.0,-9.244897959183673,666.0
46,5.0,740.0,-8.683673469387756,666.0
47,5.0,694.0,-6.336734693877551,666.0
48,5.0,766.0,-10.01020408163265,666.0
49,5.0,704.0,-6.846938775510204,666.0
50,5.0,704.0,-6.8469387755102025,666.0
51,5.0,744.0,-8.887755102040817,666.0
52,5.0,705.0,-6.8979591836734695,666.0
53,5.0,740.0,-8.683673469387756,666.0
54,6.0,758.0,-9.602040816326529,666.0
55,6.0,719.0,-7.612244897959184,666.0
56,6.0,770.0,-10.214285714285714,666.0
57,6.0,723.0,-7.816326530612244,666.0
58,6.0,726.0,-7.969387755102041,666.0
59,6.0,798.0,-11.642857142857144,666.0
60,6.0,695.0,-6.387755102040815,666.0
61,6.0,740.0,-8.683673469387756,666.0
62,6.0,714.0,-7.3571428571428585,666.0
63,7.0,708.0,-7.051020408163266,666.0
64,7.0,695.0,-6.387755102040817,666.0
65,7.0,730.0,-8.173469387755102,666.0
66,7.0,700.0,-6.642857142857144,666.0
67,7.0,814.0,-12.459183673469388,666.0
68,7.0,779.0,-10.673469387755102,666.0
69,7.0,773.0,-10.36734693877551,666.0
70,7.0,790.0,-11.23469387755102,666.0
71,7.0,695.0,-6.387755102040816,666.0
72,8.0,695.0,-6.387755102040816,666.0
73,8.0,723.0,-7.816326530612247,666.0
74,8.0,751.0,-9.244897959183673,666.0
75,8.0,750.0,-9.193877551020408,666.0
76,8.0,780.0,-10.724489795918368,666.0
77,8.0,724.0,-7.867346938775509,666.0
78,8.0,686.0,-5.928571428571429,666.0
79,8.0,735.0,-8.428571428571429,666.0
80,8.0,740.0,-8.683673469387756,666.0
81,9.0,700.0,-6.642857142857143,666.0
82,9.0,729.0,-8.122448979591837,666.0
83,9.0,826.0,-13.071428571428571,666.0
84,9.0,754.0,-9.39795918367347,666.0
85,9.0,723.0,-7.816326530612244,666.0
86,9.0,741.0,-8.73469387755102,666.0
87,9.0,751.0,-9.244897959183675,666.0
88,9.0,753.0,-9.346938775510203,666.0
89,9.0,701.0,-6.6938775510204085,666.0
90,10.0,770.0,-10.214285714285714,666.0
91,10.0,754.0,-9.39795918367347,666.0
92,10.0,754.0,-9.397959183673468,666.0
93,10.0,706.0,-6.948979591836735,666.0
94,10.0,723.0,-7.816326530612244,666.0
95,10.0,751.0,-9.244897959183675,666.0
96,10.0,740.0,-8.683673469387756,666.0
97,10.0,751.0,-9.244897959183673,666.0
98,10.0,751.0,-9.244897959183675,666.0
99,11.0,694.0,-6.33673469387755,666.0
100,11.0,754.0,-9.39795918367347,666.0
101,11.0,671.0,-5.163265306122449,666.0
102,11.0,769.0,-10.16326530612245,666.0
103,11.0,704.0,-6.846938775510204,666.0
104,11.0,707.0,-7.0,666.0
105,11.0,762.0,-9.806122448979592,666.0
106,11.0,740.0,-8.683673469387756,666.0
107,11.0,748.0,-9.091836734693878,666.0
108,12.0,689.0,-6.081632653061224,666.0
109,12.0,694.0,-6.336734693877551,666.0
110,12.0,706.0,-6.948979591836733,666.0
111,12.0,694.0,-6.336734693877551,666.0
112,12.0,763.0,-9.857142857142858,666.0
113,12.0,751.0,-9.244897959183673,666.0
114,12.0,706.0,-6.948979591836736,666.0
115,12.0,750.0,-9.193877551020408,666.0
116,12.0,704.0,-6.846938775510203,666.0
117,13.0,701.0,-6.6938775510204085,666.0
118,13.0,671.0,-5.163265306122449,666.0
119,13.0,689.0,-6.081632653061224,666.0
120,13.0,766.0,-10.010204081632654,666.0
121,13.0,754.0,-9.39795918367347,666.0
122,13.0,792.0,-11.33673469387755,666.0
123,13.0,763.0,-9.857142857142858,666.0
124,13.0,707.0,-7.0,666.0
125,13.0,713.0,-7.3061224489795915,666.0
126,14.0,671.0,-5.163265306122449,666.0
127,14.0,701.0,-6.693877551020408,666.0
128,14.0,700.0,-6.642857142857142,666.0
129,14.0,748.0,-9.091836734693878,666.0
130,14.0,706.0,-6.948979591836736,666.0
131,14.0,756.0,-9.500000000000002,666.0
132,14.0,666.0,-4.908163265306122,666.0
133,14.0,672.0,-5.2142857142857135,666.0
134,14.0,751.0,-9.244897959183675,666.0
135,15.0,763.0,-9.857142857142858,666.0
136,15.0,807.0,-12.10204081632653,666.0
137,15.0,734.0,-8.377551020408163,666.0
138,15.0,751.0,-9.244897959183673,666.0
139,15.0,704.0,-6.846938775510204,666.0
140,15.0,701.0,-6.6938775510204085,666.0
141,15.0,786.0,-11.03061224489796,666.0
142,15.0,721.0,-7.714285714285714,666.0
143,15.0,700.0,-6.642857142857142,666.0
144,16.0,695.0,-6.387755102040815,666.0
145,16.0,666.0,-4.908163265306122,666.0
146,16.0,689.0,-6.081632653061224,666.0
147,16.0,741.0,-8.73469387755102,666.0
148,16.0,751.0,-9.244897959183673,666.0
149,16.0,673.0,-5.26530612244898,666.0
150,16.0,751.0,-9.244897959183675,666.0
151,16.0,707.0,-7.0,666.0
152,16.0,704.0,-6.846938775510203,666.0
153,17.0,715.0,-7.408163265306122,666.0
154,17.0,701.0,-6.6938775510204085,666.0
155,17.0,716.0,-7.459183673469387,666.0
156,17.0,706.0,-6.948979591836734,666.0
157,17.0,740.0,-8.683673469387754,666.0
158,17.0,763.0,-9.857142857142858,666.0
159,17.0,731.0,-8.224489795918368,666.0
160,17.0,694.0,-6.336734693877551,666.0
161,17.0,771.0,-10.26530612244898,666.0
162,18.0,704.0,-6.846938775510203,666.0
163,18.0,727.0,-8.020408163265305,666.0
164,18.0,715.0,-7.408163265306122,666.0
165,18.0,728.0,-8.07142857142857,666.0
166,18.0,707.0,-7.000000000000001,666.0
167,18.0,698.0,-6.540816326530613,666.0
168,18.0,671.0,-5.163265306122448,666.0
169,18.0,751.0,-9.244897959183675,666.0
170,18.0,704.0,-6.846938775510203,666.0
171,19.0,704.0,-6.846938775510203,666.0
172,19.0,666.0,-4.908163265306122,666.0
173,19.0,672.0,-5.2142857142857135,666.0
174,19.0,676.0,-5.418367346938775,666.0
175,19.0,700.0,-6.642857142857143,666.0
176,19.0,698.0,-6.540816326530612,666.0
177,19.0,706.0,-6.948979591836734,666.0
178,19.0,745.0,-8.938775510204081,666.0
179,19.0,671.0,-5.163265306122449,666.0
180,20.0,666.0,-4.908163265306122,666.0
181,20.0,702.0,-6.744897959183674,666.0
182,20.0,751.0,-9.244897959183673,666.0
183,20.0,684.0,-5.826530612244898,666.0
184,20.0,666.0,-4.908163265306122,666.0
185,20.0,669.0,-5.061224489795918,666.0
186,20.0,671.0,-5.16326530612245,666.0
187,20.0,751.0,-9.244897959183673,666.0
188,20.0,741.0,-8.73469387755102,666.0
189,21.0,671.0,-5.163265306122449,666.0
190,21.0,694.0,-6.33673469387755,666.0
191,21.0,751.0,-9.244897959183675,666.0
192,21.0,676.0,-5.4183673469387745,666.0
193,21.0,671.0,-5.163265306122448,666.0
194,21.0,706.0,-6.948979591836735,666.0
195,21.0,756.0,-9.500000000000002,666.0
196,21.0,701.0,-6.6938775510204085,666.0
197,21.0,751.0,-9.244897959183675,666.0
198,22.0,671.0,-5.163265306122449,666.0
199,22.0,666.0,-4.908163265306123,666.0
200,22.0,763.0,-9.857142857142858,666.0
201,22.0,719.0,-7.612244897959184,666.0
202,22.0,671.0,-5.163265306122449,666.0
203,22.0,666.0,-4.908163265306122,666.0
204,22.0,751.0,-9.244897959183673,666.0
205,22.0,666.0,-4.908163265306122,666.0
206,22.0,749.0,-9.142857142857142,666.0
207,23.0,666.0,-4.908163265306122,666.0
208,23.0,701.0,-6.6938775510204085,666.0
209,23.0,671.0,-5.163265306122449,666.0
210,23.0,666.0,-4.908163265306122,666.0
211,23.0,671.0,-5.163265306122449,666.0
212,23.0,681.0,-5.673469387755102,666.0
213,23.0,666.0,-4.908163265306122,666.0
214,23.0,751.0,-9.244897959183673,666.0
215,23.0,751.0,-9.244897959183675,666.0
216,24.0,671.0,-5.163265306122448,666.0
217,24.0,735.0,-8.42857142857143,666.0
218,24.0,671.0,-5.163265306122447,666.0
219,24.0,671.0,-5.163265306122449,666.0
220,24.0,704.0,-6.846938775510203,666.0
221,24.0,671.0,-5.163265306122449,666.0
222,24.0,714.0,-7.357142857142857,666.0
223,24.0,704.0,-6.846938775510205,666.0
224,24.0,670.0,-5.112244897959184,666.0
225,25.0,715.0,-7.408163265306122,666.0
226,25.0,756.0,-9.500000000000002,666.0
227,25.0,671.0,-5.163265306122448,666.0
228,25.0,666.0,-4.908163265306122,666.0
229,25.0,666.0,-4.908163265306122,666.0
230,25.0,666.0,-4.908163265306122,666.0
231,25.0,751.0,-9.244897959183673,666.0
232,25.0,734.0,-8.377551020408164,666.0
233,25.0,671.0,-5.163265306122449,666.0
234,26.0,666.0,-4.908163265306123,666.0
235,26.0,671.0,-5.163265306122449,666.0
236,26.0,671.0,-5.163265306122449,666.0
237,26.0,666.0,-4.908163265306122,666.0
238,26.0,671.0,-5.163265306122449,666.0
239,26.0,671.0,-5.163265306122447,666.0
240,26.0,671.0,-5.163265306122449,666.0
241,26.0,666.0,-4.908163265306123,666.0
242,26.0,666.0,-4.908163265306122,666.0
243,27.0,677.0,-5.46938775510204,666.0
244,27.0,671.0,-5.163265306122449,666.0
245,27.0,690.0,-6.132653061224489,666.0
246,27.0,666.0,-4.908163265306122,666.0
247,27.0,701.0,-6.6938775510204085,666.0
248,27.0,666.0,-4.908163265306122,666.0
249,27.0,701.0,-6.6938775510204085,666.0
250,27.0,666.0,-4.908163265306122,666.0
251,27.0,666.0,-4.908163265306122,666.0
252,28.0,666.0,-4.908163265306122,666.0
253,28.0,713.0,-7.306122448979591,666.0
254,28.0,671.0,-5.163265306122449,666.0
255,28.0,672.0,-5.214285714285714,666.0
256,28.0,704.0,-6.846938775510204,666.0
257,28.0,700.0,-6.642857142857142,666.0
258,28.0,763.0,-9.857142857142858,666.0
259,28.0,670.0,-5.112244897959184,666.0
260,28.0,734.0,-8.377551020408163,666.0
261,29.0,717.0,-7.5102040816326525,666.0
262,29.0,701.0,-6.6938775510204085,666.0
263,29.0,754.0,-9.397959183673468,666.0
264,29.0,740.0,-8.683673469387756,666.0
265,29.0,671.0,-5.163265306122449,666.0
266,29.0,666.0,-4.908163265306122,666.0
267,29.0,742.0,-8.785714285714285,666.0
268,29.0,701.0,-6.693877551020408,666.0
269,29.0,671.0,-5.163265306122449,666.0
270,30.0,747.0,-9.040816326530612,666.0
271,30.0,666.0,-4.908163265306122,666.0
272,30.0,666.0,-4.908163265306122,666.0
273,30.0,666.0,-4.908163265306122,666.0
274,30.0,754.0,-9.39795918367347,666.0
275,30.0,721.0,-7.7142857142857135,666.0
276,30.0,671.0,-5.163265306122449,666.0
277,30.0,740.0,-8.683673469387756,666.0
278,30.0,685.0,-5.877551020408163,666.0
279,31.0,702.0,-6.744897959183673,666.0
280,31.0,666.0,-4.908163265306122,666.0
281,31.0,671.0,-5.163265306122449,666.0
282,31.0,677.0,-5.469387755102041,666.0
