,episode,make_span,reward,min_make_span
0,0.0,1094.0,-57.03061224489796,1094.0
1,0.0,1218.0,-69.68367346938776,1094.0
2,0.0,1074.0,-54.98979591836736,1074.0
3,0.0,1157.0,-63.4591836734694,1074.0
4,0.0,1108.0,-58.45918367346938,1074.0
5,0.0,1130.0,-60.70408163265306,1074.0
6,0.0,1135.0,-61.21428571428572,1074.0
7,0.0,1141.0,-61.8265306122449,1074.0
8,0.0,1109.0,-58.56122448979593,1074.0
9,1.0,1035.0,-51.01020408163268,1035.0
10,1.0,1087.0,-56.31632653061224,1035.0
11,1.0,1072.0,-54.78571428571428,1035.0
12,1.0,1057.0,-53.25510204081634,1035.0
13,1.0,1092.0,-56.82653061224491,1035.0
14,1.0,1180.0,-65.80612244897961,1035.0
15,1.0,1125.0,-60.19387755102043,1035.0
16,1.0,1155.0,-63.25510204081634,1035.0
17,1.0,1081.0,-55.704081632653065,1035.0
18,2.0,1137.0,-61.41836734693877,1035.0
19,2.0,1099.0,-57.54081632653062,1035.0
20,2.0,1124.0,-60.09183673469388,1035.0
21,2.0,1081.0,-55.70408163265306,1035.0
22,2.0,1068.0,-54.37755102040818,1035.0
23,2.0,1133.0,-61.01020408163265,1035.0
24,2.0,1152.0,-62.94897959183672,1035.0
25,2.0,1095.0,-57.13265306122451,1035.0
26,2.0,1123.0,-59.989795918367356,1035.0
27,3.0,1113.0,-58.96938775510203,1035.0
28,3.0,1116.0,-59.27551020408164,1035.0
29,3.0,1113.0,-58.96938775510204,1035.0
30,3.0,1076.0,-55.1938775510204,1035.0
31,3.0,1174.0,-65.19387755102042,1035.0
32,3.0,1101.0,-57.744897959183675,1035.0
33,3.0,1209.0,-68.76530612244898,1035.0
34,3.0,1126.0,-60.29591836734694,1035.0
35,3.0,1095.0,-57.13265306122451,1035.0
36,4.0,1121.0,-59.785714285714306,1035.0
37,4.0,1070.0,-54.58163265306124,1035.0
38,4.0,1140.0,-61.72448979591839,1035.0
39,4.0,1143.0,-62.030612244897966,1035.0
40,4.0,1115.0,-59.17346938775511,1035.0
41,4.0,1068.0,-54.37755102040817,1035.0
42,4.0,1106.0,-58.25510204081634,1035.0
43,4.0,1134.0,-61.11224489795917,1035.0
44,4.0,1135.0,-61.21428571428572,1035.0
45,5.0,1093.0,-56.92857142857145,1035.0
46,5.0,1145.0,-62.23469387755104,1035.0
47,5.0,1079.0,-55.5,1035.0
48,5.0,1102.0,-57.846938775510225,1035.0
49,5.0,1151.0,-62.84693877551021,1035.0
50,5.0,1129.0,-60.60204081632654,1035.0
51,5.0,1128.0,-60.50000000000001,1035.0
52,5.0,1080.0,-55.60204081632652,1035.0
53,5.0,1172.0,-64.98979591836738,1035.0
54,6.0,1127.0,-60.39795918367347,1035.0
55,6.0,1064.0,-53.96938775510205,1035.0
56,6.0,1087.0,-56.31632653061224,1035.0
57,6.0,1099.0,-57.54081632653064,1035.0
58,6.0,1101.0,-57.744897959183696,1035.0
59,6.0,1161.0,-63.86734693877552,1035.0
60,6.0,1182.0,-66.01020408163265,1035.0
