,episode,make_span,reward,min_make_span
0,0.0,1276.0,-74.25252525252527,1276.0
1,0.0,1363.0,-83.04040404040403,1276.0
2,0.0,1318.0,-78.49494949494951,1276.0
3,0.0,1400.0,-86.77777777777777,1276.0
4,0.0,1227.0,-69.30303030303033,1227.0
5,0.0,1327.0,-79.40404040404042,1227.0
6,0.0,1336.0,-80.31313131313132,1227.0
7,0.0,1341.0,-80.81818181818183,1227.0
8,0.0,1322.0,-78.89898989898992,1227.0
9,1.0,1337.0,-80.41414141414141,1227.0
10,1.0,1240.0,-70.61616161616162,1227.0
11,1.0,1285.0,-75.1616161616162,1227.0
12,1.0,1291.0,-75.76767676767679,1227.0
13,1.0,1386.0,-85.36363636363633,1227.0
14,1.0,1296.0,-76.27272727272731,1227.0
15,1.0,1338.0,-80.51515151515156,1227.0
16,1.0,1251.0,-71.72727272727275,1227.0
17,1.0,1270.0,-73.64646464646465,1227.0
18,2.0,1278.0,-74.45454545454545,1227.0
19,2.0,1234.0,-70.010101010101,1227.0
20,2.0,1372.0,-83.94949494949495,1227.0
21,2.0,1334.0,-80.11111111111113,1227.0
22,2.0,1292.0,-75.86868686868686,1227.0
23,2.0,1309.0,-77.5858585858586,1227.0
24,2.0,1325.0,-79.20202020202021,1227.0
25,2.0,1328.0,-79.50505050505049,1227.0
26,2.0,1331.0,-79.80808080808082,1227.0
27,3.0,1246.0,-71.22222222222223,1227.0
28,3.0,1317.0,-78.39393939393938,1227.0
29,3.0,1314.0,-78.09090909090911,1227.0
30,3.0,1320.0,-78.69696969696972,1227.0
31,3.0,1351.0,-81.82828282828282,1227.0
32,3.0,1377.0,-84.45454545454548,1227.0
33,3.0,1292.0,-75.86868686868686,1227.0
34,3.0,1298.0,-76.47474747474749,1227.0
35,3.0,1275.0,-74.15151515151516,1227.0
36,4.0,1328.0,-79.5050505050505,1227.0
37,4.0,1319.0,-78.59595959595958,1227.0
38,4.0,1310.0,-77.68686868686872,1227.0
39,4.0,1317.0,-78.39393939393943,1227.0
40,4.0,1254.0,-72.03030303030305,1227.0
41,4.0,1297.0,-76.37373737373738,1227.0
42,4.0,1269.0,-73.54545454545458,1227.0
43,4.0,1306.0,-77.28282828282829,1227.0
44,4.0,1319.0,-78.59595959595963,1227.0
45,5.0,1244.0,-71.02020202020203,1227.0
46,5.0,1258.0,-72.43434343434345,1227.0
47,5.0,1271.0,-73.74747474747474,1227.0
48,5.0,1324.0,-79.10101010101012,1227.0
49,5.0,1308.0,-77.4848484848485,1227.0
50,5.0,1276.0,-74.25252525252525,1227.0
51,5.0,1288.0,-75.46464646464646,1227.0
52,5.0,1296.0,-76.27272727272731,1227.0
53,5.0,1312.0,-77.88888888888893,1227.0
54,6.0,1246.0,-71.22222222222223,1227.0
55,6.0,1301.0,-76.77777777777779,1227.0
56,6.0,1330.0,-79.70707070707073,1227.0
57,6.0,1358.0,-82.53535353535355,1227.0
58,6.0,1334.0,-80.11111111111111,1227.0
59,6.0,1240.0,-70.6161616161616,1227.0
60,6.0,1212.0,-67.7878787878788,1212.0
61,6.0,1359.0,-82.63636363636364,1212.0
62,6.0,1341.0,-80.81818181818184,1212.0
63,7.0,1304.0,-77.08080808080811,1212.0
64,7.0,1343.0,-81.02020202020203,1212.0
65,7.0,1381.0,-84.8585858585859,1212.0
66,7.0,1363.0,-83.04040404040406,1212.0
67,7.0,1244.0,-71.02020202020203,1212.0
68,7.0,1353.0,-82.03030303030302,1212.0
69,7.0,1334.0,-80.11111111111113,1212.0
70,7.0,1291.0,-75.76767676767676,1212.0
71,7.0,1277.0,-74.35353535353535,1212.0
72,8.0,1273.0,-73.94949494949498,1212.0
73,8.0,1283.0,-74.95959595959597,1212.0
74,8.0,1309.0,-77.58585858585862,1212.0
75,8.0,1296.0,-76.27272727272727,1212.0
76,8.0,1239.0,-70.51515151515153,1212.0
77,8.0,1313.0,-77.989898989899,1212.0
78,8.0,1302.0,-76.8787878787879,1212.0
79,8.0,1279.0,-74.55555555555556,1212.0
80,8.0,1244.0,-71.02020202020203,1212.0
81,9.0,1337.0,-80.41414141414143,1212.0
82,9.0,1212.0,-67.7878787878788,1212.0
83,9.0,1269.0,-73.54545454545456,1212.0
84,9.0,1305.0,-77.18181818181819,1212.0
85,9.0,1282.0,-74.85858585858587,1212.0
86,9.0,1310.0,-77.68686868686869,1212.0
87,9.0,1322.0,-78.8989898989899,1212.0
88,9.0,1349.0,-81.6262626262626,1212.0
89,9.0,1244.0,-71.02020202020203,1212.0
90,10.0,1255.0,-72.13131313131312,1212.0
91,10.0,1212.0,-67.7878787878788,1212.0
92,10.0,1314.0,-78.09090909090912,1212.0
93,10.0,1282.0,-74.85858585858588,1212.0
94,10.0,1309.0,-77.58585858585859,1212.0
95,10.0,1358.0,-82.53535353535355,1212.0
96,10.0,1283.0,-74.95959595959599,1212.0
97,10.0,1298.0,-76.47474747474746,1212.0
98,10.0,1344.0,-81.12121212121211,1212.0
99,11.0,1275.0,-74.15151515151514,1212.0
100,11.0,1318.0,-78.49494949494951,1212.0
101,11.0,1313.0,-77.98989898989903,1212.0
102,11.0,1247.0,-71.32323232323232,1212.0
103,11.0,1318.0,-78.49494949494948,1212.0
104,11.0,1333.0,-80.01010101010101,1212.0
105,11.0,1355.0,-82.23232323232322,1212.0
106,11.0,1256.0,-72.23232323232322,1212.0
107,11.0,1362.0,-82.93939393939397,1212.0
108,12.0,1297.0,-76.37373737373738,1212.0
109,12.0,1240.0,-70.61616161616163,1212.0
110,12.0,1276.0,-74.25252525252525,1212.0
111,12.0,1259.0,-72.53535353535354,1212.0
112,12.0,1362.0,-82.93939393939397,1212.0
113,12.0,1224.0,-69.00000000000001,1212.0
114,12.0,1298.0,-76.4747474747475,1212.0
115,12.0,1328.0,-79.5050505050505,1212.0
116,12.0,1324.0,-79.10101010101009,1212.0
117,13.0,1258.0,-72.43434343434348,1212.0
118,13.0,1267.0,-73.34343434343434,1212.0
119,13.0,1279.0,-74.55555555555557,1212.0
120,13.0,1296.0,-76.2727272727273,1212.0
121,13.0,1245.0,-71.12121212121214,1212.0
122,13.0,1224.0,-69.0,1212.0
123,13.0,1316.0,-78.2929292929293,1212.0
124,13.0,1322.0,-78.89898989898991,1212.0
125,13.0,1346.0,-81.32323232323235,1212.0
126,14.0,1249.0,-71.52525252525253,1212.0
127,14.0,1319.0,-78.59595959595961,1212.0
128,14.0,1322.0,-78.89898989898991,1212.0
129,14.0,1212.0,-67.7878787878788,1212.0
130,14.0,1244.0,-71.02020202020203,1212.0
131,14.0,1333.0,-80.01010101010104,1212.0
132,14.0,1212.0,-67.78787878787881,1212.0
133,14.0,1212.0,-67.7878787878788,1212.0
134,14.0,1292.0,-75.86868686868688,1212.0
135,15.0,1259.0,-72.53535353535355,1212.0
136,15.0,1286.0,-75.26262626262628,1212.0
137,15.0,1224.0,-69.00000000000001,1212.0
138,15.0,1212.0,-67.7878787878788,1212.0
139,15.0,1286.0,-75.26262626262626,1212.0
140,15.0,1230.0,-69.60606060606064,1212.0
141,15.0,1282.0,-74.85858585858584,1212.0
142,15.0,1302.0,-76.87878787878792,1212.0
143,15.0,1329.0,-79.60606060606062,1212.0
144,16.0,1212.0,-67.7878787878788,1212.0
145,16.0,1312.0,-77.88888888888889,1212.0
146,16.0,1212.0,-67.7878787878788,1212.0
147,16.0,1298.0,-76.47474747474749,1212.0
148,16.0,1390.0,-85.76767676767678,1212.0
149,16.0,1339.0,-80.61616161616163,1212.0
150,16.0,1299.0,-76.57575757575758,1212.0
151,16.0,1212.0,-67.7878787878788,1212.0
152,16.0,1224.0,-69.00000000000003,1212.0
153,17.0,1240.0,-70.61616161616162,1212.0
154,17.0,1232.0,-69.80808080808083,1212.0
155,17.0,1343.0,-81.02020202020202,1212.0
156,17.0,1212.0,-67.7878787878788,1212.0
157,17.0,1309.0,-77.58585858585862,1212.0
158,17.0,1212.0,-67.78787878787881,1212.0
159,17.0,1212.0,-67.78787878787881,1212.0
160,17.0,1273.0,-73.94949494949495,1212.0
161,17.0,1250.0,-71.62626262626264,1212.0
162,18.0,1212.0,-67.78787878787881,1212.0
163,18.0,1378.0,-84.55555555555554,1212.0
164,18.0,1277.0,-74.35353535353535,1212.0
165,18.0,1233.0,-69.90909090909092,1212.0
166,18.0,1212.0,-67.7878787878788,1212.0
167,18.0,1269.0,-73.54545454545455,1212.0
168,18.0,1212.0,-67.78787878787878,1212.0
169,18.0,1365.0,-83.24242424242426,1212.0
170,18.0,1367.0,-83.44444444444446,1212.0
171,19.0,1212.0,-67.7878787878788,1212.0
172,19.0,1212.0,-67.78787878787881,1212.0
173,19.0,1212.0,-67.7878787878788,1212.0
174,19.0,1233.0,-69.90909090909092,1212.0
175,19.0,1212.0,-67.7878787878788,1212.0
176,19.0,1239.0,-70.51515151515156,1212.0
177,19.0,1244.0,-71.02020202020202,1212.0
178,19.0,1212.0,-67.7878787878788,1212.0
179,19.0,1239.0,-70.51515151515156,1212.0
180,20.0,1270.0,-73.64646464646465,1212.0
181,20.0,1212.0,-67.78787878787881,1212.0
182,20.0,1304.0,-77.08080808080808,1212.0
183,20.0,1212.0,-67.7878787878788,1212.0
184,20.0,1212.0,-67.7878787878788,1212.0
185,20.0,1319.0,-78.59595959595958,1212.0
186,20.0,1358.0,-82.53535353535355,1212.0
187,20.0,1237.0,-70.31313131313131,1212.0
188,20.0,1212.0,-67.78787878787878,1212.0
189,21.0,1212.0,-67.7878787878788,1212.0
190,21.0,1224.0,-69.00000000000001,1212.0
191,21.0,1212.0,-67.78787878787882,1212.0
192,21.0,1212.0,-67.78787878787881,1212.0
193,21.0,1212.0,-67.7878787878788,1212.0
194,21.0,1212.0,-67.78787878787881,1212.0
195,21.0,1212.0,-67.78787878787878,1212.0
196,21.0,1212.0,-67.78787878787878,1212.0
197,21.0,1212.0,-67.78787878787881,1212.0
198,22.0,1360.0,-82.73737373737372,1212.0
199,22.0,1224.0,-69.0,1212.0
200,22.0,1212.0,-67.78787878787881,1212.0
201,22.0,1212.0,-67.78787878787881,1212.0
202,22.0,1309.0,-77.58585858585856,1212.0
203,22.0,1212.0,-67.78787878787881,1212.0
204,22.0,1212.0,-67.7878787878788,1212.0
205,22.0,1212.0,-67.78787878787881,1212.0
206,22.0,1400.0,-86.77777777777781,1212.0
207,23.0,1212.0,-67.78787878787881,1212.0
208,23.0,1212.0,-67.7878787878788,1212.0
209,23.0,1212.0,-67.78787878787881,1212.0
210,23.0,1212.0,-67.7878787878788,1212.0
211,23.0,1278.0,-74.45454545454547,1212.0
212,23.0,1212.0,-67.7878787878788,1212.0
213,23.0,1212.0,-67.7878787878788,1212.0
214,23.0,1212.0,-67.78787878787881,1212.0
215,23.0,1212.0,-67.7878787878788,1212.0
216,24.0,1212.0,-67.78787878787881,1212.0
217,24.0,1235.0,-70.11111111111113,1212.0
218,24.0,1300.0,-76.67676767676767,1212.0
219,24.0,1212.0,-67.78787878787881,1212.0
220,24.0,1212.0,-67.78787878787881,1212.0
221,24.0,1212.0,-67.78787878787881,1212.0
222,24.0,1212.0,-67.7878787878788,1212.0
223,24.0,1212.0,-67.78787878787881,1212.0
224,24.0,1212.0,-67.7878787878788,1212.0
225,25.0,1212.0,-67.7878787878788,1212.0
226,25.0,1286.0,-75.26262626262627,1212.0
227,25.0,1259.0,-72.53535353535352,1212.0
228,25.0,1212.0,-67.78787878787881,1212.0
229,25.0,1212.0,-67.78787878787881,1212.0
230,25.0,1212.0,-67.78787878787881,1212.0
231,25.0,1212.0,-67.7878787878788,1212.0
232,25.0,1212.0,-67.78787878787881,1212.0
233,25.0,1332.0,-79.90909090909089,1212.0
234,26.0,1212.0,-67.7878787878788,1212.0
235,26.0,1266.0,-73.24242424242425,1212.0
236,26.0,1212.0,-67.7878787878788,1212.0
237,26.0,1212.0,-67.78787878787881,1212.0
238,26.0,1212.0,-67.7878787878788,1212.0
239,26.0,1212.0,-67.7878787878788,1212.0
240,26.0,1212.0,-67.7878787878788,1212.0
241,26.0,1212.0,-67.78787878787881,1212.0
242,26.0,1212.0,-67.78787878787881,1212.0
243,27.0,1212.0,-67.78787878787881,1212.0
244,27.0,1212.0,-67.7878787878788,1212.0
245,27.0,1212.0,-67.7878787878788,1212.0
246,27.0,1212.0,-67.78787878787881,1212.0
247,27.0,1212.0,-67.78787878787881,1212.0
248,27.0,1212.0,-67.7878787878788,1212.0
