,episode,make_span,reward,min_make_span
0,0.0,2656.0,-220.6161616161619,2656.0
1,0.0,2651.0,-219.606060606061,2651.0
2,0.0,2694.0,-228.2929292929296,2651.0
3,0.0,2563.0,-201.82828282828325,2563.0
4,0.0,2581.0,-205.46464646464696,2563.0
5,0.0,2571.0,-203.44444444444457,2563.0
6,0.0,2566.0,-202.4343434343439,2563.0
7,0.0,2527.0,-194.55555555555577,2527.0
8,0.0,2589.0,-207.08080808080848,2527.0
9,1.0,2600.0,-209.30303030303057,2527.0
10,1.0,2499.0,-188.8989898989901,2499.0
11,1.0,2665.0,-222.43434343434376,2499.0
12,1.0,2515.0,-192.13131313131342,2499.0
13,1.0,2521.0,-193.34343434343452,2499.0
14,1.0,2563.0,-201.82828282828308,2499.0
15,1.0,2605.0,-210.31313131313178,2499.0
16,1.0,2529.0,-194.95959595959616,2499.0
17,1.0,2528.0,-194.7575757575761,2499.0
18,2.0,2506.0,-190.31313131313166,2499.0
19,2.0,2515.0,-192.13131313131348,2499.0
20,2.0,2678.0,-225.0606060606065,2499.0
21,2.0,2537.0,-196.57575757575796,2499.0
22,2.0,2571.0,-203.44444444444474,2499.0
23,2.0,2580.0,-205.26262626262636,2499.0
24,2.0,2583.0,-205.86868686868718,2499.0
25,2.0,2560.0,-201.22222222222246,2499.0
26,2.0,2548.0,-198.79797979798008,2499.0
27,3.0,2463.0,-181.6262626262629,2463.0
28,3.0,2556.0,-200.4141414141417,2463.0
29,3.0,2583.0,-205.86868686868735,2463.0
30,3.0,2579.0,-205.06060606060618,2463.0
31,3.0,2526.0,-194.35353535353573,2463.0
32,3.0,2474.0,-183.8484848484851,2463.0
33,3.0,2630.0,-215.36363636363686,2463.0
34,3.0,2568.0,-202.83838383838435,2463.0
35,3.0,2559.0,-201.02020202020248,2463.0
36,4.0,2538.0,-196.77777777777806,2463.0
37,4.0,2505.0,-190.11111111111146,2463.0
38,4.0,2672.0,-223.84848484848519,2463.0
39,4.0,2603.0,-209.90909090909116,2463.0
40,4.0,2523.0,-193.74747474747522,2463.0
41,4.0,2558.0,-200.81818181818204,2463.0
42,4.0,2581.0,-205.46464646464676,2463.0
43,4.0,2580.0,-205.26262626262655,2463.0
44,4.0,2528.0,-194.757575757576,2463.0
45,5.0,2624.0,-214.15151515151555,2463.0
46,5.0,2586.0,-206.47474747474786,2463.0
47,5.0,2749.0,-239.40404040404079,2463.0
48,5.0,2571.0,-203.44444444444466,2463.0
49,5.0,2525.0,-194.15151515151544,2463.0
50,5.0,2560.0,-201.22222222222263,2463.0
51,5.0,2527.0,-194.55555555555577,2463.0
52,5.0,2506.0,-190.31313131313155,2463.0
53,5.0,2574.0,-204.05050505050545,2463.0
54,6.0,2577.0,-204.656565656566,2463.0
55,6.0,2526.0,-194.35353535353573,2463.0
56,6.0,2471.0,-183.24242424242453,2463.0
57,6.0,2520.0,-193.14141414141443,2463.0
58,6.0,2574.0,-204.05050505050545,2463.0
59,6.0,2523.0,-193.74747474747502,2463.0
60,6.0,2517.0,-192.53535353535372,2463.0
61,6.0,2664.0,-222.2323232323236,2463.0
62,6.0,2647.0,-218.79797979798025,2463.0
63,7.0,2623.0,-213.9494949494952,2463.0
64,7.0,2565.0,-202.23232323232352,2463.0
65,7.0,2625.0,-214.35353535353562,2463.0
66,7.0,2488.0,-186.67676767676798,2463.0
67,7.0,2579.0,-205.0606060606065,2463.0
68,7.0,2509.0,-190.91919191919217,2463.0
69,7.0,2619.0,-213.14141414141454,2463.0
70,7.0,2493.0,-187.686868686869,2463.0
71,7.0,2523.0,-193.74747474747514,2463.0
72,8.0,2592.0,-207.686868686869,2463.0
73,8.0,2549.0,-199.0000000000005,2463.0
74,8.0,2460.0,-181.02020202020245,2460.0
75,8.0,2630.0,-215.36363636363666,2460.0
76,8.0,2583.0,-205.86868686868706,2460.0
77,8.0,2545.0,-198.19191919191945,2460.0
78,8.0,2627.0,-214.75757575757626,2460.0
79,8.0,2575.0,-204.2525252525255,2460.0
80,8.0,2571.0,-203.44444444444503,2460.0
81,9.0,2597.0,-208.69696969696997,2460.0
82,9.0,2593.0,-207.88888888888914,2460.0
83,9.0,2577.0,-204.65656565656596,2460.0
84,9.0,2576.0,-204.45454545454575,2460.0
85,9.0,2610.0,-211.32323232323273,2460.0
86,9.0,2644.0,-218.19191919191954,2460.0
87,9.0,2600.0,-209.3030303030305,2460.0
88,9.0,2569.0,-203.0404040404044,2460.0
89,9.0,2551.0,-199.40404040404067,2460.0
90,10.0,2526.0,-194.35353535353562,2460.0
91,10.0,2617.0,-212.73737373737407,2460.0
92,10.0,2642.0,-217.78787878787912,2460.0
93,10.0,2504.0,-189.90909090909113,2460.0
94,10.0,2417.0,-172.3333333333338,2417.0
95,10.0,2597.0,-208.69696969697017,2417.0
96,10.0,2500.0,-189.10101010101047,2417.0
97,10.0,2543.0,-197.78787878787924,2417.0
98,10.0,2664.0,-222.2323232323237,2417.0
99,11.0,2533.0,-195.76767676767722,2417.0
100,11.0,2545.0,-198.19191919191942,2417.0
101,11.0,2588.0,-206.87878787878822,2417.0
102,11.0,2599.0,-209.1010101010103,2417.0
103,11.0,2477.0,-184.45454545454572,2417.0
104,11.0,2461.0,-181.22222222222246,2417.0
105,11.0,2519.0,-192.93939393939436,2417.0
106,11.0,2614.0,-212.13131313131345,2417.0
107,11.0,2631.0,-215.56565656565687,2417.0
108,12.0,2552.0,-199.60606060606094,2417.0
109,12.0,2552.0,-199.6060606060608,2417.0
110,12.0,2554.0,-200.0101010101014,2417.0
111,12.0,2517.0,-192.53535353535386,2417.0
112,12.0,2612.0,-211.72727272727306,2417.0
113,12.0,2600.0,-209.30303030303048,2417.0
114,12.0,2679.0,-225.26262626262667,2417.0
115,12.0,2587.0,-206.67676767676812,2417.0
116,12.0,2573.0,-203.84848484848524,2417.0
117,13.0,2595.0,-208.29292929292956,2417.0
118,13.0,2608.0,-210.91919191919203,2417.0
119,13.0,2555.0,-200.21212121212164,2417.0
120,13.0,2520.0,-193.1414141414144,2417.0
121,13.0,2554.0,-200.0101010101013,2417.0
122,13.0,2589.0,-207.0808080808085,2417.0
123,13.0,2616.0,-212.5353535353538,2417.0
124,13.0,2688.0,-227.08080808080845,2417.0
125,13.0,2455.0,-180.01010101010138,2417.0
126,14.0,2618.0,-212.93939393939417,2417.0
127,14.0,2529.0,-194.95959595959633,2417.0
128,14.0,2522.0,-193.54545454545485,2417.0
129,14.0,2611.0,-211.5252525252529,2417.0
130,14.0,2573.0,-203.84848484848527,2417.0
131,14.0,2525.0,-194.1515151515154,2417.0
132,14.0,2608.0,-210.91919191919234,2417.0
133,14.0,2640.0,-217.38383838383888,2417.0
134,14.0,2547.0,-198.59595959595998,2417.0
135,15.0,2588.0,-206.87878787878822,2417.0
136,15.0,2595.0,-208.2929292929295,2417.0
137,15.0,2568.0,-202.83838383838423,2417.0
138,15.0,2532.0,-195.5656565656569,2417.0
139,15.0,2533.0,-195.767676767677,2417.0
140,15.0,2553.0,-199.80808080808126,2417.0
141,15.0,2626.0,-214.55555555555588,2417.0
142,15.0,2586.0,-206.4747474747477,2417.0
143,15.0,2513.0,-191.72727272727306,2417.0
144,16.0,2595.0,-208.2929292929296,2417.0
145,16.0,2561.0,-201.42424242424283,2417.0
146,16.0,2619.0,-213.14141414141451,2417.0
147,16.0,2556.0,-200.41414141414174,2417.0
148,16.0,2464.0,-181.82828282828297,2417.0
149,16.0,2607.0,-210.71717171717202,2417.0
150,16.0,2531.0,-195.36363636363666,2417.0
151,16.0,2519.0,-192.9393939393943,2417.0
152,16.0,2567.0,-202.63636363636408,2417.0
153,17.0,2497.0,-188.49494949494976,2417.0
154,17.0,2563.0,-201.82828282828308,2417.0
155,17.0,2612.0,-211.72727272727312,2417.0
156,17.0,2553.0,-199.8080808080812,2417.0
157,17.0,2611.0,-211.52525252525282,2417.0
158,17.0,2541.0,-197.3838383838387,2417.0
159,17.0,2498.0,-188.69696969697003,2417.0
