,episode,make_span,reward,min_make_span
0,0.0,2686.0,-226.676767676768,2686.0
1,0.0,2643.0,-217.9898989898993,2643.0
2,0.0,2599.0,-209.10101010101044,2599.0
3,0.0,2459.0,-180.81818181818204,2459.0
4,0.0,2603.0,-209.90909090909128,2459.0
5,0.0,2635.0,-216.37373737373767,2459.0
6,0.0,2511.0,-191.32323232323262,2459.0
7,0.0,2573.0,-203.84848484848519,2459.0
8,0.0,2574.0,-204.05050505050534,2459.0
9,1.0,2542.0,-197.58585858585909,2459.0
10,1.0,2640.0,-217.38383838383885,2459.0
11,1.0,2528.0,-194.75757575757618,2459.0
12,1.0,2543.0,-197.78787878787915,2459.0
13,1.0,2567.0,-202.636363636364,2459.0
14,1.0,2482.0,-185.4646464646468,2459.0
15,1.0,2650.0,-219.40404040404064,2459.0
16,1.0,2469.0,-182.83838383838415,2459.0
17,1.0,2543.0,-197.78787878787915,2459.0
18,2.0,2517.0,-192.535353535354,2459.0
19,2.0,2614.0,-212.13131313131353,2459.0
20,2.0,2526.0,-194.35353535353568,2459.0
21,2.0,2492.0,-187.48484848484875,2459.0
22,2.0,2575.0,-204.25252525252563,2459.0
23,2.0,2601.0,-209.50505050505078,2459.0
24,2.0,2657.0,-220.81818181818218,2459.0
25,2.0,2589.0,-207.0808080808084,2459.0
26,2.0,2557.0,-200.61616161616206,2459.0
27,3.0,2563.0,-201.82828282828314,2459.0
28,3.0,2594.0,-208.09090909090918,2459.0
29,3.0,2510.0,-191.12121212121238,2459.0
30,3.0,2528.0,-194.7575757575761,2459.0
31,3.0,2525.0,-194.15151515151535,2459.0
32,3.0,2521.0,-193.34343434343464,2459.0
33,3.0,2655.0,-220.41414141414168,2459.0
34,3.0,2576.0,-204.45454545454575,2459.0
35,3.0,2545.0,-198.19191919191957,2459.0
36,4.0,2574.0,-204.0505050505053,2459.0
37,4.0,2595.0,-208.29292929292978,2459.0
38,4.0,2545.0,-198.1919191919196,2459.0
39,4.0,2537.0,-196.57575757575788,2459.0
40,4.0,2554.0,-200.0101010101013,2459.0
41,4.0,2594.0,-208.0909090909096,2459.0
42,4.0,2647.0,-218.79797979798013,2459.0
43,4.0,2570.0,-203.24242424242445,2459.0
44,4.0,2527.0,-194.55555555555605,2459.0
45,5.0,2566.0,-202.43434343434382,2459.0
46,5.0,2556.0,-200.41414141414157,2459.0
47,5.0,2582.0,-205.66666666666694,2459.0
48,5.0,2593.0,-207.88888888888926,2459.0
49,5.0,2535.0,-196.17171717171726,2459.0
50,5.0,2664.0,-222.23232323232364,2459.0
51,5.0,2657.0,-220.81818181818215,2459.0
52,5.0,2522.0,-193.54545454545493,2459.0
53,5.0,2582.0,-205.66666666666706,2459.0
54,6.0,2539.0,-196.97979797979826,2459.0
55,6.0,2508.0,-190.717171717172,2459.0
56,6.0,2599.0,-209.10101010101042,2459.0
57,6.0,2541.0,-197.38383838383882,2459.0
58,6.0,2536.0,-196.37373737373773,2459.0
59,6.0,2609.0,-211.12121212121244,2459.0
60,6.0,2541.0,-197.38383838383862,2459.0
61,6.0,2580.0,-205.2626262626267,2459.0
62,6.0,2572.0,-203.64646464646484,2459.0
63,7.0,2540.0,-197.18181818181856,2459.0
64,7.0,2627.0,-214.75757575757598,2459.0
65,7.0,2601.0,-209.50505050505095,2459.0
66,7.0,2550.0,-199.20202020202058,2459.0
67,7.0,2600.0,-209.30303030303068,2459.0
68,7.0,2537.0,-196.57575757575793,2459.0
69,7.0,2516.0,-192.33333333333377,2459.0
70,7.0,2589.0,-207.0808080808083,2459.0
71,7.0,2507.0,-190.5151515151517,2459.0
72,8.0,2500.0,-189.10101010101053,2459.0
73,8.0,2699.0,-229.3030303030307,2459.0
74,8.0,2631.0,-215.5656565656569,2459.0
75,8.0,2603.0,-209.90909090909125,2459.0
76,8.0,2531.0,-195.3636363636366,2459.0
77,8.0,2491.0,-187.28282828282858,2459.0
78,8.0,2610.0,-211.32323232323284,2459.0
79,8.0,2462.0,-181.42424242424278,2459.0
80,8.0,2460.0,-181.0202020202022,2459.0
81,9.0,2579.0,-205.0606060606064,2459.0
82,9.0,2556.0,-200.4141414141417,2459.0
83,9.0,2544.0,-197.9898989898994,2459.0
84,9.0,2551.0,-199.40404040404061,2459.0
85,9.0,2584.0,-206.07070707070753,2459.0
86,9.0,2705.0,-230.51515151515207,2459.0
87,9.0,2542.0,-197.58585858585897,2459.0
88,9.0,2558.0,-200.8181818181822,2459.0
89,9.0,2598.0,-208.8989898989902,2459.0
90,10.0,2557.0,-200.61616161616197,2459.0
91,10.0,2462.0,-181.4242424242427,2459.0
