,episode,make_span,reward,min_make_span
0,0.0,3313.0,-126.777777777778,3313.0
1,0.0,3498.0,-154.80808080808117,3313.0
2,0.0,3423.0,-143.44444444444474,3313.0
3,0.0,3375.0,-136.17171717171746,3313.0
4,0.0,3400.0,-139.95959595959633,3313.0
5,0.0,3467.0,-150.1111111111114,3313.0
6,0.0,3428.0,-144.2020202020205,3313.0
7,0.0,3421.0,-143.1414141414145,3313.0
8,0.0,3398.0,-139.65656565656585,3313.0
9,1.0,3307.0,-125.86868686868713,3307.0
10,1.0,3364.0,-134.50505050505078,3307.0
11,1.0,3444.0,-146.62626262626293,3307.0
12,1.0,3474.0,-151.17171717171746,3307.0
13,1.0,3371.0,-135.5656565656569,3307.0
14,1.0,3407.0,-141.02020202020233,3307.0
15,1.0,3394.0,-139.05050505050528,3307.0
16,1.0,3276.0,-121.17171717171736,3276.0
17,1.0,3573.0,-166.1717171717174,3276.0
